"","sample_info$diet","sample_info$treatment","interaction","Pval_d1t1_vs_d1t2","log2FoldChange_d1t1_vs_d1t2","Pval_d1t1_vs_d2t1","log2FoldChange_d1t1_vs_d2t1","Pval_d1t1_vs_d2t2","log2FoldChange_d1t1_vs_d2t2","Pval_d1t2_vs_d2t1","log2FoldChange_d1t2_vs_d2t1","Pval_d1t2_vs_d2t2","log2FoldChange_d1t2_vs_d2t2","Pval_d2t1_vs_d2t2","log2FoldChange_d2t1_vs_d2t2"
"ENSMUSG00000034789",0.265195543327551,0.000201393215507329,0.0101014489583342,0.562116113912049,0.465685922938706,0.0483674004220486,-0.678075288446311,0.0865121273602015,1.10621631014755,0.003397744665391,-1.14376121138502,0.608507689593989,0.640530387208842,0.00028380133176642,1.78429159859386
"ENSMUSG00000021486",0.0265131730326495,0.753256404645274,0.80742227022155,0.999950524467834,-0.010075934353641,0.26559833674651,0.438431238500239,0.459328044676118,0.334229751157129,0.245794318567393,0.44850717285388,0.431435665487612,0.34430568551077,0.977368207014542,-0.10420148734311
"ENSMUSG00000021484",0.00570657072184863,0.00072189201565606,0.217624731640056,0.006862995297374,0.750358238213558,0.0277742147822557,0.583331658497962,0.000455926462396894,1.14322455660868,0.897946987505206,-0.167026579715596,0.547863918307414,0.392866318395124,0.214377677765728,0.55989289811072
"ENSMUSG00000021492",0.0190941163395028,0.00640764351204211,0.903341811061837,0.138795812212576,0.66503564767192,0.254911681865353,0.53429596337407,0.00454327331608706,1.51809097605704,0.981651151112484,-0.13073968429785,0.329243521481128,0.853055328385123,0.186162042949252,0.983795012682973
"ENSMUSG00000035711",0.0186670059630598,0.270208066090348,0.435740958697365,0.994792165927305,-0.2149663901566,0.584610178405285,-0.889424944386397,0.0733269000495976,-1.46613842502851,0.727298037082306,-0.674458554229797,0.113932676451409,-1.25117203487191,0.532979236639136,-0.576713480642118
"ENSMUSG00000021494",0.313605675485656,0.000891298846007242,0.745811373265238,0.075240206858289,-0.50027446199991,0.957312941314092,-0.109365409896625,0.0112424502518605,-0.647399315014962,0.182140891459295,0.390909052103285,0.768620457227314,-0.147124853015052,0.0307500324608937,-0.538033905118337
"ENSMUSG00000021495",0.122418520016681,0.00132339531504226,0.102997706405216,0.448062870763618,1.09857318607011,0.122273097939859,-0.873481511417016,0.410623224349813,1.17581778281312,0.00630357225851708,-1.97205469748712,0.999874034234107,0.0772445967430118,0.0054714365552917,2.04929929423013
"ENSMUSG00000058569",0.307997970852583,0.0676751489094143,0.0222332912569809,0.0270673383355979,0.851604867596276,0.0921275045563091,0.63443719458676,0.185682240801086,0.512693050700923,0.917054546523935,-0.217167673009516,0.726143316994463,-0.338911816895353,0.976939926864412,-0.121744143885837
"ENSMUSG00000021504",0.72687846623111,0.00287922748813497,0.195631032315883,0.0159756190718515,0.841042267978273,0.631806240838198,0.242871823611395,0.0634255425426667,0.624572605760958,0.156449091129465,-0.598170444366877,0.894165223378278,-0.216469662217314,0.443972761680684,0.381700782149563
"ENSMUSG00000021501",0.110358777648616,0.184000910960127,0.825514168658818,0.670969387914626,0.321872272565352,0.544254707782288,0.39097385235718,0.171896204168161,0.693800028439927,0.996423612945684,0.0691015797918281,0.730965629475362,0.371927755874575,0.842599637590886,0.302826176082747
