,X1,X2,X3,X4,Y1,Y2,Y3,Y4
ENSMUSG00000038806,374.222098,356.9590704,347.7019226,226.1229156,383.3715384,396.6233265,370.1206057,395.9090672
ENSMUSG00000066652,20.11946764,11.34588732,11.28902346,9.250482912,11.98036057,13.31589106,17.15790887,17.79366594
ENSMUSG00000026520,599.5601355,569.9126479,698.7905522,652.672961,534.1244089,587.8014767,513.1031797,519.5750454
ENSMUSG00000038793,56.33450938,44.51078873,36.12487507,42.14108882,45.92471553,46.60561871,49.02259678,45.37384815
ENSMUSG00000026519,682.7206018,718.2819436,754.1067671,965.1337171,669.9018287,802.7580038,763.1184233,789.1490844
ENSMUSG00000038776,363.4917153,409.3247042,432.3695985,524.1940317,484.2062398,402.330137,473.8851022,391.4606507
ENSMUSG00000026516,987.195212,952.1817746,842.1611501,659.867781,548.1014962,891.2135659,879.9556122,879.8967807
ENSMUSG00000062169,709.5465586,660.6797465,727.0131108,765.7344188,628.9689301,748.5433045,727.1685189,699.2910714
ENSMUSG00000038733,1731.615515,1827.56062,1633.521695,1638.363307,2003.715306,1885.14972,1816.287211,1841.644425
ENSMUSG00000054135,22.80206332,23.56453521,27.0936563,41.11325739,18.96890424,38.9965381,22.87721183,37.36669847
ENSMUSG00000026514,1232.652717,1378.08893,1277.917456,1014.469626,1224.991869,1321.12662,1408.582614,1193.065301
ENSMUSG00000050625,21.46076548,12.21864789,2.257804692,14.38964009,25.95744791,5.706810454,16.34086559,22.24208242
ENSMUSG00000047369,30.84985037,32.29214084,31.60926569,43.16892026,31.9476282,34.24086272,41.66920727,20.46271583
ENSMUSG00000004880,248.1401008,206.8442535,200.9446176,117.1727836,216.6448537,264.415551,188.7369976,244.6629067
ENSMUSG00000022995,2783.193023,2441.111296,2327.796637,2398.958568,2744.500935,2679.347508,2625.977101,2666.380841
ENSMUSG00000026511,1132.055379,1353.651634,1548.854019,1664.059093,1712.193199,1450.48099,1350.572541,1543.60052
ENSMUSG00000038633,980.4887228,1013.275014,948.2779706,837.6826192,1205.024601,952.0862107,964.9281133,902.1388631
ENSMUSG00000100147,225.3380375,275.792338,256.2608325,390.5759452,137.7741466,300.5586839,268.807239,305.1613709
ENSMUSG00000047539,862.4545127,779.3751831,745.0755484,530.3610203,820.6546993,780.8818971,880.7726555,775.803835
ENSMUSG00000026510,539.2017326,466.9269014,579.1269035,440.9396855,574.0589441,499.3459147,638.1108015,609.4330584
ENSMUSG00000026509,1653.82024,1483.692958,1430.319272,1287.872788,1660.278303,1377.243589,1507.444851,1378.119427
ENSMUSG00000102234,14.75427627,17.45521127,9.031218768,4.111325739,14.97545072,17.12043136,13.88973576,10.67619956
ENSMUSG00000104415,59.01710506,24.43729577,32.73816803,20.55662869,38.93617186,31.3874575,38.40103415,37.36669847
ENSMUSG00000038576,2265.452056,2236.012563,2370.694927,2024.827926,2078.59256,2277.017371,2157.811302,2334.528971
ENSMUSG00000030768,111.3277209,88.1488169,114.0191369,93.53266055,113.8134254,104.6248583,111.117886,105.8723123
ENSMUSG00000046836,799.4135141,832.6135774,724.7553061,580.7247606,709.836364,793.2466531,808.8728469,776.6935183
ENSMUSG00000042901,959.0279573,910.2892676,810.5518844,816.0981591,922.4877642,927.3566987,832.567102,927.0499954
ENSMUSG00000056050,1542.492519,1500.275408,1493.537804,1451.297986,1661.276666,1465.699152,1574.4424,1532.034637
ENSMUSG00000072258,260.2117814,226.0449859,237.0694927,259.0135215,180.703772,283.4382525,231.2232482,261.5668893
ENSMUSG00000104212,12.07168058,13.09140845,21.44914457,23.640123,6.988543668,14.26702613,10.62156264,13.34524945
ENSMUSG00000053461,24.14336116,16.5824507,4.515609384,12.33397722,16.97217748,14.26702613,9.804519357,14.23493275
ENSMUSG00000039384,130.1058907,109.0950704,110.6324299,217.9002641,136.7757832,133.1589106,116.0201457,141.4596442
ENSMUSG00000039377,5.36519137,13.09140845,20.32024223,27.75144874,11.98036057,6.657945529,9.804519357,10.67619956
ENSMUSG00000073481,783.31794,884.1064507,968.5982129,1234.425553,999.3617445,922.6010233,827.6648423,898.5801299
ENSMUSG00000039349,853.0654278,1229.719634,1216.956729,1387.572437,969.4108431,1156.580252,1090.752778,976.8722601
ENSMUSG00000026620,1762.465365,1615.479803,1556.756335,1362.904482,1581.407596,1516.109311,1601.404828,1494.667939
ENSMUSG00000039318,1137.42057,967.0187042,922.3132167,624.9215123,727.8069048,969.2066421,1019.670013,966.1960605
ENSMUSG00000026618,678.6967082,720.0274648,671.6968959,548.8619861,715.8265443,735.2274135,794.9831112,711.7466376
ENSMUSG00000026617,1019.38636,919.0168732,880.5438299,706.1201956,926.4812177,998.6918294,759.0332069,889.683297
ENSMUSG00000026615,1825.506363,1824.942338,1820.919484,2353.733985,2115.532005,1890.85653,1786.873653,1911.039722
ENSMUSG00000051295,4.023893527,8.727605633,16.93353519,13.36180865,4.991816906,16.16929629,12.2556492,10.67619956
ENSMUSG00000097615,36.21504174,49.74735211,55.31621495,53.4472346,30.94926482,38.04540302,42.48625054,44.48416485
ENSMUSG00000026614,284.3551426,273.1740563,279.9677818,255.9300272,253.5842988,349.0665728,312.1105328,367.4392016
ENSMUSG00000039246,68.40618996,69.82084507,80.15206657,70.92036899,77.87234373,63.72605007,63.72937582,89.85801299
ENSMUSG00000039239,238.7510159,189.3890422,199.8157152,233.3177357,353.4206369,233.0280935,192.822214,287.3677049
ENSMUSG00000001305,197.1707828,192.0073239,162.5619378,211.7332755,184.6972255,157.8884226,168.3109156,211.7446247
ENSMUSG00000039210,303.1333124,328.1579718,291.2568053,238.4568928,232.6186678,286.2916578,328.4513984,294.4851713
ENSMUSG00000104394,69.7474878,47.12907042,41.7693868,78.11518903,92.84779445,43.75221348,53.92485646,45.37384815
ENSMUSG00000104245,6.706489212,26.1828169,24.83585161,7.194820043,2.995090143,18.07156644,17.97495215,25.80081561
ENSMUSG00000026610,376.9046937,326.4124507,347.7019226,232.2899042,466.235699,442.2778102,424.0454622,353.2042689
ENSMUSG00000103961,6.706489212,6.982084507,9.031218768,29.8071116,10.98199719,13.31589106,6.536346238,9.786516267
ENSMUSG00000026608,1547.85771,1498.529887,1486.76439,1169.672173,1462.602353,1461.894611,1558.918578,1419.934542
ENSMUSG00000037624,1411.04533,1513.366817,1312.913428,1398.878583,1456.612173,1349.660672,1425.740523,1282.033631
ENSMUSG00000102824,5.36519137,7.85484507,11.28902346,16.44530295,22.96235777,9.511350756,12.2556492,8.007149673
ENSMUSG00000104507,83.16046623,80.29397183,95.95669941,134.6459179,54.90998596,78.94421128,47.38851022,65.83656398
ENSMUSG00000026605,5.36519137,6.109323943,13.54682815,14.38964009,11.98036057,7.609080605,8.170432797,15.12461605
ENSMUSG00000026604,281.6725469,296.7385915,233.6827856,166.5086924,207.6595833,272.0246316,336.6218312,378.1154012
ENSMUSG00000104435,143.5188691,163.2062253,176.108766,207.6219498,73.8788902,130.3055054,138.8973576,168.1501431
ENSMUSG00000026603,752.4680896,844.8322253,1035.203451,873.6567195,912.5041304,866.4840539,845.6397945,867.4412145
ENSMUSG00000010175,360.8091196,341.2493803,339.7996061,296.0154532,344.4353665,336.7018168,369.3035624,338.9693361
ENSMUSG00000079045,14.75427627,30.54661972,48.54280088,63.72554895,37.93780848,29.48518734,25.32834167,43.59448155
ENSMUSG00000089872,1038.16453,1010.656732,1098.421983,1015.497457,970.4092065,1007.252045,969.0133297,951.0714445
ENSMUSG00000026634,938.9084897,1063.895127,1083.746252,1258.065676,957.4304825,1138.508686,1039.279052,1050.715974
ENSMUSG00000037568,81.81916839,70.69360563,65.47633607,69.89253756,71.88216344,89.40669711,59.64415942,104.0929457
ENSMUSG00000103723,4.023893527,20.94625352,11.28902346,19.52879726,0.998363381,42.8010784,9.804519357,16.90398264
ENSMUSG00000103964,17.43687195,37.52870422,19.19133988,39.05759452,12.97872395,27.58291719,28.59651479,18.68334924
ENSMUSG00000066595,198.5120807,210.3352958,142.2416956,134.6459179,208.6579467,221.6144726,198.541517,181.4953926
ENSMUSG00000057072,12.07168058,11.34588732,6.773414076,15.41747152,8.98527043,7.609080605,5.719302958,13.34524945
ENSMUSG00000026632,332.6418649,382.2691267,321.7371686,308.3494304,198.6743128,311.0211697,344.792264,359.432052
ENSMUSG00000062510,8.047787054,12.21864789,18.06243754,17.47313439,14.97545072,8.560215681,14.70677903,21.35239913
ENSMUSG00000026630,28.16725469,21.81901408,18.06243754,22.61229156,11.98036057,13.31589106,13.07269248,28.4698655
ENSMUSG00000026628,24.14336116,50.62011267,24.83585161,17.47313439,40.93289863,29.48518734,35.94990431,64.94688068
ENSMUSG00000073478,49.62802017,49.74735211,64.34743372,84.28217764,47.92144229,46.60561871,74.35093845,43.59448155
ENSMUSG00000103685,18.77816979,13.96416901,11.28902346,11.30614578,16.97217748,25.68064704,8.987476077,10.67619956
ENSMUSG00000037499,744.4203025,802.9397183,1091.648569,1636.307644,1009.345378,851.2658927,921.6248195,844.3094488
ENSMUSG00000026627,162.2970389,150.9875775,190.7844965,132.5902551,170.7201382,166.4486382,149.5189202,177.0469761
ENSMUSG00000026626,1350.686927,1537.804113,1350.167206,1125.475421,1428.657998,1536.083147,1371.815667,1392.35436
ENSMUSG00000103114,25.48465901,28.80109859,33.86707038,65.78121182,19.96726762,49.45902393,26.14538495,41.81511496
