,A1,A2,A3,A4,A5,B1,B2,B3,B4,B5,C1,C2,C3,C4,C5,D1,D2,D3,D4,D5
ENSMUSG00000083396,43.58697147,42.34999337,16.69052653,25.70263861,36.5334946,15.99144551,37.5525044,46.21767021,53.75844778,23.04848714,18.9034931,8.127266343,16.47356039,47.96513308,17.86645463,24.42559181,28.68383225,33.27658913,20.41434835,19.30111869
ENSMUSG00000025488,9.906129879,13.03076719,11.55497991,12.09535935,0,0,12.1137111,11.88454377,10.57543235,2196.19156,0,8.127266343,1781.615556,25.24480688,10.04988073,0.595746142,0,0,0,0
ENSMUSG00000109628,1220.435201,1755.895879,3912.002642,1008.450586,2085.115377,188.2629267,248.3310775,2644.971241,312.8565404,568.5293495,1479.62796,3988.862321,702.5973506,4223.456191,1004.988073,71.489537,45.98519138,588.6787077,97.98887208,1085.084767
ENSMUSG00000038745,794.4716163,782.9319288,1565.057834,873.8897128,1416.687735,265.3126187,135.6735643,789.6619082,386.0032808,327.069008,1488.220457,2724.259678,995.0030476,2943.544482,1865.927855,29.78730708,28.68383225,574.4173123,144.261395,569.9861615
ENSMUSG00000062031,398.2264212,348.5730224,396.7209768,290.2886243,445.1673972,430.315261,279.8267263,549.3300231,442.4055867,574.0170845,290.426394,286.0797753,294.053053,358.4762577,423.2116439,430.1287143,219.4540816,424.6726612,438.9084895,251.517703
ENSMUSG00000060591,4901.553064,6120.116991,4488.46775,9284.700219,4398.903369,2552.089327,1832.804489,3218.070352,1926.49126,1512.419775,2247.79718,1521.424259,2114.381476,2378.060808,3346.610282,1537.620792,1690.524907,1175.772816,1366.400383,3076.718952
ENSMUSG00000025491,109.9580417,205.2345833,159.2019454,290.2886243,167.7834567,215.8845144,185.3397798,162.4220982,118.0923279,93.29149557,89.36196738,89.39992978,56.01010533,118.6505923,146.2815972,225.1920415,286.3830235,67.345478,202.7825269,212.9154656
ENSMUSG00000025492,6603.426178,7405.819354,7179.494182,8695.051451,9589.365788,4198.481331,4965.410179,7297.109874,5955.730985,5151.885649,10769.83557,4533.389166,5547.471461,6400.820785,8861.761494,10933.13319,5196.326626,3604.171522,6695.22578,4797.534316
ENSMUSG00000059108,1.981225976,3.257691798,24.39384647,4.535759755,8.118554357,11.63014219,2.422742219,5.282019453,3.525144117,14.26811109,6.873997491,3.250906537,4.118390098,5.048961376,10.04988073,53.02140661,49.17228385,4.753798447,16.33147868,55.49071625
ENSMUSG00000109703,34.67145458,33.66281525,69.32987944,10.58343943,28.41494025,12.35702608,23.01605108,3.96151459,37.01401323,1.097547007,8.592496864,48.76359806,8.236780195,35.34272963,15.6331478,0.595746142,1.365896774,20.59979327,6.124304505,2.412639837
ENSMUSG00000055629,8.915516891,15.20256172,1.283886656,18.14303902,8.118554357,5.088187208,7.268226658,13.20504863,5.287716175,5.487735033,8.592496864,22.75634576,9.060458215,8.835682409,11.16653414,1.191492283,4.097690321,19.80749353,0.680478278,4.825279674
ENSMUSG00000054065,13.86858183,13.03076719,19.25829984,22.67879878,17.59020111,29.80223936,44.82073106,26.41009726,38.77658528,51.58470931,32.65148808,9.752719612,217.4509972,15.14688413,16.74980121,32.76603779,26.40733762,44.3687855,24.49721802,27.14219816
