"","KW_Pval","Pval_d1t1_vs_d1t2","log2FoldChange_d1t1_vs_d1t2","Pval_d1t1_vs_d2t1","log2FoldChange_d1t1_vs_d2t1","Pval_d1t1_vs_d2t2","log2FoldChange_d1t1_vs_d2t2","Pval_d1t2_vs_d2t1","log2FoldChange_d1t2_vs_d2t1","Pval_d1t2_vs_d2t2","log2FoldChange_d1t2_vs_d2t2","Pval_d2t1_vs_d2t2","log2FoldChange_d2t1_vs_d2t2"
"ENSMUSG00000042111",0.374338008416377,1,0.130170136780333,0.585092953900933,0.351478111022286,1,0.141167302411978,1,0.221307974241954,1,0.0109971656316459,1,-0.210310808610308
"ENSMUSG00000037509",0.158111003529726,1,0.0370070028683899,0.652856580243274,-1.53446705214304,0.466468454692816,-1.60254027153746,0.893766746843301,-1.57147405501143,0.652856580243274,-1.63954727440585,1,-0.0680732193944252
"ENSMUSG00000037432",0.989333798765171,1,0.00586162076656437,1,-0.466046274453192,1,-0.164680471735711,1,-0.471907895219756,1,-0.170542092502275,1,0.301365802717481
"ENSMUSG00000067653",0.204524677361786,1,-3.29784097356181,1,-4.31759616614042,0.523071818441571,0.785989574087984,1,-1.01975519257861,1,4.0838305476498,0.414956951645842,5.1035857402284
"ENSMUSG00000079610",0.536464536556524,1,0.206347751575702,1,0.254595817094299,0.98761342029669,0.435007532564907,1,0.0482480655185962,1,0.228659780989205,1,0.180411715470609
"ENSMUSG00000026121",0.065622119005555,1,0.0808459559638719,0.893766746843301,0.682873050472766,1,-1.5866178896799,0.726683205941114,0.602027094508894,1,-1.66746384564377,0.0451578909987473,-2.26949094015267
"ENSMUSG00000026116",0.109134746207843,1,-0.307170608931281,1,-0.169410448109929,0.148610940055914,-0.572304344348487,1,0.137760160821352,1,-0.265133735417205,0.325916268762689,-0.402893896238557
"ENSMUSG00000026090",0.340158269234765,1,-0.593393525186505,1,-0.847030678569682,1,0.471542994099917,1,-0.253637153383177,0.523071818441571,1.06493651928642,0.987613420296689,1.3185736726696
"ENSMUSG00000060771",0.607502552470092,1,0.176939206091315,1,0.100468456728281,1,-0.250782554718356,1,-0.0764707493630336,1,-0.42772176080967,1,-0.351251011446637
"ENSMUSG00000026078",0.471687476293074,1,-0.10027054175511,1,-0.147630508526143,0.8937667468433,-0.254902676786797,1,-0.0473599667710329,1,-0.154632135031687,1,-0.107272168260654
"ENSMUSG00000026077",0.0434760413132271,1,0.21525544760249,0.584337281131253,1.63041601414008,1,-0.945140635084949,0.986660993001909,1.41516056653759,0.892849834996603,-1.16039608268744,0.0275785965156399,-2.57555664922503
"ENSMUSG00000085894",0.0473287935393891,0.893766746843301,0.699812064751465,1,-1.09105459919526,1,0.943569488501699,0.0969415875670879,-1.79086666394673,1,0.243757423750234,0.129218275666543,2.03462408769696
"ENSMUSG00000026074",0.0141719474700675,0.414956951645842,-1.04826897973583,1,-0.0672003632997578,0.0719772847482237,-2.05736415752844,0.287752883586541,0.98106861643607,1,-1.00909517779261,0.0451578909987473,-1.99016379422868
"ENSMUSG00000026073",0.488000983089365,1,-0.664610559505675,1,-2.33218887217148,0.80600688692905,-2.64930236984911,1,-1.6675783126658,1,-1.98469181034343,1,-0.317113497677631
"ENSMUSG00000026072",0.219801100591448,1,1.3377336247215,1,-0.409361758495332,0.8937667468433,1.77394796442486,1,-1.74709538321683,1,0.436214339703357,0.287752883586541,2.18330972292019
"ENSMUSG00000070942",0.35934229599192,1,-0.216477579543849,1,-0.852506467315611,0.652856580243274,-1.86041675951936,1,-0.636028887771762,0.806885880862891,-1.64393917997551,1,-1.00791029220375
"ENSMUSG00000026068",0.171797144296733,1,-0.500043344193812,1,-0.667703598602133,0.195056667874317,-2.40416439383892,1,-0.167660254408322,0.652856580243274,-1.90412104964511,1,-1.73646079523678
"ENSMUSG00000026062",0.596231797847315,1,-4.17750577024441,1,-4.28131989836352,1,-0.752293401720372,1,-0.10381412811911,1,3.42521236852404,1,3.52902649664315
"ENSMUSG00000008136",0.182119304624334,0.98761342029669,-1.2429924236425,1,-3.15756375752255,0.195056667874317,-2.85507898118289,1,-1.91457133388004,1,-1.61208655754039,1,0.302484776339657
"ENSMUSG00000041763",0.0435956883557432,1,0.0299484031754833,1,-0.26787962851047,0.0836405535631547,-0.522012691240207,1,-0.297828031685953,0.0969415875670879,-0.55196109441569,1,-0.254133062729737
"ENSMUSG00000056870",0.55713242970302,1,-0.449818335393816,0.98761342029669,-1.67095818832545,1,-0.615728702186288,1,-1.22113985293164,1,-0.165910366792472,1,1.05522948613916
"ENSMUSG00000026043",0.0123601890493127,0.80688588086289,-2.25104183086252,0.287752883586541,-2.35940227696421,0.00667090761816205,-4.23514141275294,1,-0.108360446101681,0.466468454692816,-1.98409958189042,1,-1.87573913578874
"ENSMUSG00000026042",0.0222329282886689,0.726683205941114,-1.79867069295167,1,-1.56019234317611,0.0138785012176004,-4.20929147682396,1,0.238478349775557,0.80688588086289,-2.41062078387229,0.287752883586541,-2.64909913364785
"ENSMUSG00000025995",0.00627967510817141,0.523071818441571,-0.725530292633886,1,-0.0186070719707316,0.0276707006946457,-0.984555886200274,0.368212974836413,0.706923220663155,1,-0.259025593566388,0.0165572936118174,-0.965948814229543
"ENSMUSG00000084817",0.428224904965725,1,-0.275807580540893,0.585092953900933,-1.15962327348082,1,-0.468533321972663,1,-0.883815692939922,1,-0.19272574143177,1,0.691089951508153
"ENSMUSG00000045954",0.193954544586844,1,-0.198817947939594,1,-0.457258009869104,0.726683205941114,0.814060283711617,1,-0.25844006192951,0.466468454692816,1.01287823165121,0.325916268762689,1.27131829358072
"ENSMUSG00000026107",0.00827406846234101,0.195056667874317,-1.77063020774464,1,-0.530576442615282,0.00967345803343742,-2.18335916381953,1,1.24005376512936,1,-0.412728956074886,0.112067095784955,-1.65278272120424
