"","Pval","log2FoldChange_GroupX_vs_GroupY"
"ENSMUSG00000089759",0.0571428571428571,-0.79525756013246
"ENSMUSG00000031425",0.342857142857143,-0.166866197045402
"ENSMUSG00000052854",0.884549438852962,1.84190486553291
"ENSMUSG00000031431",0.885714285714286,-0.0363807096587541
"ENSMUSG00000031429",0.342857142857143,0.0272034954670575
"ENSMUSG00000041688",0.2,-0.252046161901418
"ENSMUSG00000041133",0.685714285714286,-0.0565869635316512
"ENSMUSG00000031380",0.885714285714286,0.0038730828548387
"ENSMUSG00000086224",0.485714285714286,0.288833546022635
"ENSMUSG00000027500",0.685714285714286,0.0427880261133691
"ENSMUSG00000027534",0.685714285714286,-0.213089095274345
"ENSMUSG00000025128",0.885714285714286,-0.104960455200747
"ENSMUSG00000069094",0.342857142857143,-0.0931488893044855
"ENSMUSG00000039221",0.485714285714286,-0.157087104613487
"ENSMUSG00000027706",0.885714285714286,-0.01744263006491
"ENSMUSG00000102498",0.885714285714286,0.154497342253454
"ENSMUSG00000027680",0.2,-0.179298519540858
"ENSMUSG00000105284",0.685714285714286,0.255305579963123
"ENSMUSG00000037400",0.2,-0.212522481943056
"ENSMUSG00000027716",0.685714285714286,0.220676645691909
"ENSMUSG00000027763",0.2,-0.22930687009499
"ENSMUSG00000036894",0.0285714285714286,-0.261676223860682
"ENSMUSG00000047557",0.342857142857143,0.106160872943216
"ENSMUSG00000089417",0.114285714285714,1.66091928419833
"ENSMUSG00000028011",0.685714285714286,0.308811797867608
"ENSMUSG00000028004",0.485714285714286,-0.119968466020019
"ENSMUSG00000023084",0.0285714285714286,1.29053823864122
"ENSMUSG00000004896",0.2,0.275357562980733
"ENSMUSG00000105843",0.342857142857143,0.0116484430382449
"ENSMUSG00000001416",0.685714285714286,0.0203063038350007
"ENSMUSG00000041423",0.485714285714286,0.354353732534284
"ENSMUSG00000068921",0.685714285714286,-0.03775020443411
"ENSMUSG00000028047",0.685714285714286,0.118953803488062
"ENSMUSG00000001018",0.885714285714286,-0.0672248562919714
"ENSMUSG00000041959",0.342857142857143,-0.0462836721304195
"ENSMUSG00000028150",0.485714285714286,0.470739970670232
"ENSMUSG00000005774",0.2,-0.149214583143941
"ENSMUSG00000028126",0.2,-0.114281125093999
"ENSMUSG00000005628",1,0.755095546260907
"ENSMUSG00000015522",0.885714285714286,0.00596030791726334
"ENSMUSG00000106383",0.685714285714286,0.30915799180252
"ENSMUSG00000038486",0.885714285714286,0.00756350268419476
"ENSMUSG00000028104",0.342857142857143,0.0685443866657891
"ENSMUSG00000038374",0.342857142857143,0.0533038149801761
"ENSMUSG00000038354",0.0285714285714286,0.321179207957057
"ENSMUSG00000028096",0.2,-0.0622212457644097
"ENSMUSG00000027875",0.885714285714286,-0.0176985282879902
"ENSMUSG00000044165",0.2,0.955363807776993
"ENSMUSG00000027843",0.685714285714286,1.43012796040252
"ENSMUSG00000105304",0.485714285714286,-0.260351030434044
"ENSMUSG00000002233",0.2,0.142896162924054
"ENSMUSG00000105655",0.342857142857143,0.235364404970977
"ENSMUSG00000106317",0.342857142857143,0.177932164276348
"ENSMUSG00000102780",0.342857142857143,-0.522191721759911
"ENSMUSG00000004035",0.342857142857143,0.193016631952394
"ENSMUSG00000088185",1,0.689554557991754
"ENSMUSG00000040322",0.2,-0.475731628644335
"ENSMUSG00000054426",0.685714285714286,0.267840068064188
"ENSMUSG00000033554",0.485714285714286,-0.0497619137432809
"ENSMUSG00000105572",0.342857142857143,-0.130482106465094
"ENSMUSG00000104960",1,0.262262263162678
"ENSMUSG00000105939",0.685714285714286,0.3053238631062
"ENSMUSG00000028023",0.885714285714286,-0.121675340966744
"ENSMUSG00000105449",0.2,0.237679793681797
"ENSMUSG00000028163",0.2,0.205997773656435
"ENSMUSG00000028149",0.342857142857143,-0.0472574185495646
"ENSMUSG00000106057",0.2,0.483842252061728
"ENSMUSG00000039037",0.0285714285714286,-0.149030353938809
"ENSMUSG00000104696",0.885714285714286,1.27567373498318
"ENSMUSG00000106018",0.2,-0.425101536537983
"ENSMUSG00000041261",0.685714285714286,1.21332112906702
"ENSMUSG00000041235",0.342857142857143,0.500628123054613
"ENSMUSG00000085112",0.685714285714286,-0.0288864146727196
"ENSMUSG00000078722",0.342857142857143,0.1779628314587
"ENSMUSG00000042788",0.0285714285714286,1.09031732656898
"ENSMUSG00000088088",0.342857142857143,0.282472390829739
"ENSMUSG00000048232",0.342857142857143,0.0493098267064304
"ENSMUSG00000066191",0.885714285714286,0.10649252776769
"ENSMUSG00000028369",0.342857142857143,0.10576239447704
"ENSMUSG00000039158",0.342857142857143,-0.115990781668429
"ENSMUSG00000028373",0.885714285714286,0.0175230452285104
"ENSMUSG00000051675",0.685714285714286,-0.109993157965882
"ENSMUSG00000028399",0.2,-0.128628602040655
"ENSMUSG00000038368",0.485714285714286,0.0427180719979817
"ENSMUSG00000062627",0.485714285714286,0.11134205100549
"ENSMUSG00000081225",0.342857142857143,-0.167663524531549
"ENSMUSG00000085181",0.485714285714286,-0.209571669629523
"ENSMUSG00000028517",0.685714285714286,-0.0933528302009495
"ENSMUSG00000028607",0.485714285714286,-0.0450104167472098
"ENSMUSG00000034210",0.2,-0.122433793954614
"ENSMUSG00000044730",0.685714285714286,0.0813359262250544
"ENSMUSG00000028871",0.2,0.225946219083354
"ENSMUSG00000056174",0.2,-0.230980574135122
"ENSMUSG00000073755",0.685714285714286,0.0837961820240321
"ENSMUSG00000042408",0.485714285714286,-0.115330430829324
"ENSMUSG00000062545",1,-0.0694830115401865
"ENSMUSG00000057236",0.2,-0.11716684240156
"ENSMUSG00000057572",0.685714285714286,0.143032677461316
"ENSMUSG00000028909",0.342857142857143,0.0995893406546226
"ENSMUSG00000047281",0.2,0.372439886903204
"ENSMUSG00000037443",0.885714285714286,-0.0671610148458414
"ENSMUSG00000028809",0.885714285714286,0.0392706664928706
"ENSMUSG00000051351",0.685714285714286,0.0644724254305589
"ENSMUSG00000036856",0.885714285714286,0.106760652400907
